2025-10-24 15:04:07,600 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:183 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b7044570 ch=5
2025-10-24 15:04:07,837 | WARNING | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:130 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b7044570 ch=6
2025-10-24 15:04:08,085 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:183 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b7044570 ch=6
2025-10-24 15:04:08,321 | WARNING | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:130 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b7044570 ch=7
2025-10-24 15:04:08,565 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:183 | [mapping] MISS schema=rhodes_8w_21m dev_eui=78724831b7044570 ch=7
2025-10-24 15:04:18,350 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=7872f0f5bdc18fec ch=0
2025-10-24 15:04:18,795 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=7872f0f5bdc18fec ch=1
2025-10-24 15:04:19,221 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=7872f0f5bdc18fec ch=2
2025-10-24 15:04:19,645 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=7872f0f5bdc18fec ch=3
2025-10-24 15:04:20,080 | INFO | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:181 | [mapping] HIT schema=rhodes_8w_21m dev_eui=7872f0f5bdc18fec ch=4
2025-10-24 15:04:20,328 | WARNING | pid=34508 tid=6187577344 | catch_mappingLookup | catch_mappingLookup.py:130 | [mapping] MISS schema=rhodes_8w_21m dev_eui=7872f0f5bdc18fec ch=5
